Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,862.0,18.0,24.0,862.0,0.0,7.607,0.0,0.0,77.27304744720459,,,,,,,,,,,,,,,,,,,,,2.0069348279674624,2.516222426153683,7.573973938030903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,911.0,19.0,49.0,911.0,0.0,33.205999999999996,0.0,0.0,82.05155897140503,,,,,,,,,,,,,,,,,,,,,12.273835286872211,11.197270552155066,32.669889179412905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1053.0,20.0,142.0,1053.0,0.0,65.10700000000003,0.0,0.0,95.96891856193542,,,,,,,,,,,,,,,,,,,,,28.656798639962464,19.298082092419893,61.1599934199719,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,65.0,1.0,65.0,1118.0,0.0,31.911000000000033,0.0,0.0,261.96349334716797,,,,,,,,,,,,,,,,,,,,,9.328009409482345,10.138998680147912,31.367382786574005,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,115.0,2.0,50.0,1168.0,0.0,24.80800000000003,0.0,0.0,266.9726164340973,,,,,,,,,,,,,,,,,,,,,7.303333480977548,8.114449418032383,24.491792418996695,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,157.0,3.0,42.0,1210.0,0.0,21.90700000000002,0.0,0.0,271.1051058769226,,,,,,,,,,,,,,,,,,,,,6.805098474853734,7.312863131937055,21.664493185934827,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,193.0,4.0,36.0,1246.0,0.0,15.006999999999993,0.0,0.0,274.81908440589905,,,,,,,,,,,,,,,,,,,,,4.187784265978916,4.882804165605357,14.88599687417624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,229.0,5.0,36.0,1282.0,0.0,17.40600000000002,0.0,0.0,278.4473979473114,,,,,,,,,,,,,,,,,,,,,5.258652372084367,5.811773801039426,17.251173610652664,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,272.0,6.0,43.0,1325.0,0.0,19.708000000000027,0.0,0.0,282.82912015914917,,,,,,,,,,,,,,,,,,,,,5.554828965141663,6.4618420244924035,19.508139124609002,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,315.0,7.0,43.0,1368.0,0.0,20.609000000000027,0.0,0.0,287.3013300895691,,,,,,,,,,,,,,,,,,,,,5.879236115932918,6.871311690141484,20.39696638281413,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
